outcome,outcome_label,parameter,coefficient,std_error,t_value,p_value,ci_lower,ci_upper,n_obs,r_squared
stroop_cse,Stroop Conflict Adaptation (CSE),C(gender_male)[T.1.0],37.007243685723466,23.4638391637729,1.5772032627491313,0.11689834738733146,-9.36277682403523,83.37726419548216,155,0.07219846793425322
stroop_cse,Stroop Conflict Adaptation (CSE),z_ucla,-36.48273341323809,17.272164064931097,-2.1122271231380654,0.03635762061865623,-70.61655935487434,-2.3489074716018337,155,0.07219846793425322
stroop_cse,Stroop Conflict Adaptation (CSE),z_ucla:C(gender_male)[T.1.0],33.9913344128699,22.997453332117157,1.478047761288386,0.14153443505289703,-11.456998881578883,79.43966770731868,155,0.07219846793425322
stroop_cse,Stroop Conflict Adaptation (CSE),z_dass_depression,17.586332833254932,17.232568816825637,1.020528803348453,0.3091543336036725,-16.469243660201766,51.64190932671163,155,0.07219846793425322
stroop_cse,Stroop Conflict Adaptation (CSE),z_dass_anxiety,0.5400508325792275,16.65887177740371,0.03241821173698922,0.9741825143622422,-32.38176646236339,33.46186812752184,155,0.07219846793425322
stroop_cse,Stroop Conflict Adaptation (CSE),z_dass_stress,18.1938819122461,17.08312031270354,1.0650210019721376,0.2886126430983755,-15.56634946940153,51.95411329389373,155,0.07219846793425322
stroop_cse,Stroop Conflict Adaptation (CSE),z_age,-17.876712311536956,11.50336439102199,-1.5540420788103664,0.12232470571929166,-40.61004418531148,4.856619562237572,155,0.07219846793425322
stroop_reactive_index,Stroop Reactive Control Index,C(gender_male)[T.1.0],16.74880904549199,11.29945654864269,1.4822667774676195,0.14039546354884724,-5.580301205774656,39.07791929675864,156,0.08850602470558588
stroop_reactive_index,Stroop Reactive Control Index,z_ucla,-26.33560702862593,8.353046131538122,-3.152814747328172,0.001958115972598311,-42.84224937926497,-9.828964677986889,156,0.08850602470558588
stroop_reactive_index,Stroop Reactive Control Index,z_ucla:C(gender_male)[T.1.0],17.828510767932833,11.122078545354713,1.602983713451579,0.11107031459858036,-4.150078821165987,39.80710035703166,156,0.08850602470558588
stroop_reactive_index,Stroop Reactive Control Index,z_dass_depression,16.05431114863525,8.333448504699415,1.9264907126481756,0.05595963640995766,-0.4136038907865789,32.522226188057076,156,0.08850602470558588
stroop_reactive_index,Stroop Reactive Control Index,z_dass_anxiety,-2.9784026068116,8.05639902289643,-0.3696940281069652,0.7121389343233269,-18.89883393340139,12.942028719778193,156,0.08850602470558588
stroop_reactive_index,Stroop Reactive Control Index,z_dass_stress,8.138729112824766,8.254978212132903,0.9859176976218692,0.3257825564773952,-8.17411901637674,24.45157724202627,156,0.08850602470558588
stroop_reactive_index,Stroop Reactive Control Index,z_age,-3.342261111482753,5.551134755068767,-0.6020861065264033,0.5480381077361105,-14.31198336599754,7.6274611430320345,156,0.08850602470558588
