outcome,outcome_column,n_female,n_male,mean_female,mean_male,sd_female,sd_male,mean_diff_male_minus_female,t_stat,p_value,cohen_d
PRP Ex-Gaussian tau (Long SOA),prp_exg_long_tau,101,66,227.59574259276323,187.86620909911247,134.0541563631905,121.01360678552788,-39.72953349365076,1.9869507755387665,0.0487633846997366,-0.3078034898476436
PRP Ex-Gaussian mu (Overall),prp_exg_overall_mu,117,77,785.5926747248143,613.1406866919241,308.95534857255694,255.7093902809594,-172.4519880328902,4.226273550372792,3.7531368371801335e-05,-0.5966081265422585
PRP Ex-Gaussian sigma (Overall),prp_exg_overall_sigma,117,77,290.653654939089,191.7111503164937,167.51946712920952,140.82283191670118,-98.9425046225953,4.436396928857174,1.5862914390825984e-05,-0.6282299332826895
PRP Ex-Gaussian tau (Overall),prp_exg_overall_tau,117,77,330.3990996759473,366.306164470743,206.00013412851374,170.8120582828322,35.9070647947957,-1.31852724217791,0.18898474988639713,0.18620053470483502
PRP Ex-Gaussian mu (Bottleneck),prp_exg_mu_bottleneck,100,65,551.4479311017842,416.8174251148831,234.62557121247968,226.57933010083474,-134.63050598690108,3.6773998934831313,0.0003348147827451348,-0.5815581167879856
PRP Ex-Gaussian sigma (Bottleneck),prp_exg_sigma_bottleneck,100,65,128.02063782778404,98.97170861315625,109.0928371766312,106.74882937243652,-29.04892921462779,1.693232408782393,0.09265147631920892,-0.26852763408683833
PRP Ex-Gaussian tau (Bottleneck),prp_exg_tau_bottleneck,100,65,98.16355069682328,136.86983860990154,184.52493623102382,179.061619528607,38.706287913078256,-1.3404720394005079,0.18226638742949544,0.2122062899387924
PRP CB Base RT (ms),prp_cb_base,119,79,725.4814099680999,671.096253507937,199.5276706631324,173.4046435340351,-54.385156460162875,2.033646254105062,0.04343686362618494,-0.2868967559090086
PRP CB Bottleneck Duration (ms),prp_cb_bottleneck,119,79,726.8911440537407,627.964806573803,167.176129109877,159.30331901972164,-98.92633747993773,4.195068951356151,4.353764052466203e-05,-0.6028846698719049
PRP CB Model R-squared,prp_cb_r_squared,119,79,0.8884337853164835,0.8705990469873092,0.13785245938894464,0.12871304736983435,-0.01783473832917437,0.9279352294632206,0.35471953193190076,-0.1328077619215815
PRP CB Slope (short SOA),prp_cb_slope,119,79,-0.84418788896414,-0.8913666309186672,0.5396633150310615,0.5894464979821818,-0.047178741954527204,0.570224611306675,0.569341246268738,-0.084246940834441
