task,outcome,outcome_column,n,beta,se,p,delta_r2
WCST,WCST Slow-State Prob (Shift k0),wcst_slow_prob_shift_k0,210,0.0373383451462266,0.0174239985973984,0.0333092504301945,0.0211983703153105
WCST,WCST RT Vincentile p90 (correct),wcst_rt_vincentile_p90_correct,212,159.24684905942175,74.46277820295444,0.0336503785051271,0.0210553799825219
WCST,WCST IIV Residual SD,wcst_residual_sd,212,71.62322099481976,33.50965066120969,0.0337506145006042,0.0216581488204857
WCST,WCST Volatility (Detrended SD),wcst_volatility_adj,212,71.0729637217643,33.33590807088645,0.0341948802060175,0.0215515582656807
WCST,WCST Recovery RT Lag3,wcst_recovery_rt_lag3,209,106.07582655780703,50.131458454551314,0.0355735015434843,0.0206399138406974
WCST,WCST Delta Plot Slope (correct),wcst_delta_plot_slope_correct,212,142.63771104524113,67.46918711072243,0.0357139636390604,0.0210005224831004
WCST,WCST RL alpha0,wcst_rl_alpha0,212,0.0823568131612534,0.03896328472934,0.0357496973919787,0.0209434082760731
WCST,WCST HMM Long Lapse Episode Rate,wcst_hmm_long_lapse_episode_rate,212,0.0366579967653172,0.01747455506722,0.0371488045473303,0.0209339727984266
WCST,WCST Reaction Time SD,wcst_sd_rt,212,73.79563523849015,35.26921717278453,0.0376378708091893,0.0207734329456023
WCST,"WCST RT Slope (Overall, correct)",wcst_rt_slope_correct,212,-1.1813259575659596,0.5669081205129995,0.0384174070567099,0.0206484418227916
WCST,"WCST WSLS P(shift|lose, stable)",wcst_wsls_p_shift_lose_stable,132,0.0665013671054728,0.0324013302165481,0.0422155809421011,0.0321327043741883
WCST,WCST Mean Reaction Time (ms),wcst_mean_rt,212,77.64183363111037,38.19199048331827,0.04334832759104,0.0185964220320338
WCST,WCST Mean RT (All),wcst_mean_rt_all,212,77.64183363111037,38.19199048331827,0.04334832759104,0.0185964220320338
WCST,WCST Tau Q4,wcst_tau_q4,43,-204.98493977519323,98.04058052500469,0.0436655407643466,0.0891092184296109
WCST,WCST IIV Intercept,wcst_intercept,212,117.50003927345364,58.025616790134784,0.0441673746572057,0.0190297016537984
WCST,WCST Slow-State Prob Delta (Post-Error),wcst_slow_prob_post_error_delta,211,0.0419360544592305,0.0207650650032347,0.0447384874089834,0.0193378650022659
