Outcome,Effect Type,Metric,Effect Size,95% CI,p-value,Sig.,N,DASS Controlled,Interpretation
Stroop Interference (ms),Cohen's d (Female),Cohen's d,0.067,"[-0.39, 0.40]",= 0.741,,98,False,negligible
Stroop Interference (ms),Cohen's d (High vs Low UCLA),Cohen's d,0.087,"[-0.31, 0.32]",= 0.584,,160,False,negligible
Stroop Interference (ms),Cohen's d (Male),Cohen's d,0.056,"[-0.49, 0.51]",= 0.830,,59,False,negligible
Stroop Interference (ms),Correlation r,r,0.007,"[-0.14, 0.15]",= 0.930,,160,False,negligible
Stroop Interference (ms),Female UCLA β,β (unstandardized),2.275,"[-26.90, 31.45]",= 0.877,,100,True,large
Stroop Interference (ms),Male UCLA β,β (unstandardized),33.130,"[-5.60, 71.86]",= 0.092,,58,True,large
WCST Accuracy,Female Correlation,r,0.107,"[-0.10, 0.30]",= 0.304,,95,False,negligible
WCST Accuracy,Female Simple Slope,β (standardized),1.401,"[-1.61, 4.42]",= 0.358,,95,True,large
WCST Accuracy,Interaction,β (standardized),-1.290,"[-4.73, 2.15]",= 0.460,,150,True,large
WCST Accuracy,Interaction ΔR²,ΔR²,0.004,,= 0.460,,150,True,negligible
WCST Accuracy,Interaction β,β (unstandardized),-1.290,,= 0.364,,150,True,large
WCST Accuracy,Male Correlation,r,-0.010,"[-0.27, 0.26]",= 0.942,,55,False,negligible
WCST Accuracy,Male Simple Slope,β (standardized),-1.478,"[-4.91, 1.95]",= 0.391,,55,True,large
WCST Accuracy (%),Cohen's d (Female),Cohen's d,0.213,"[-0.41, 0.39]",= 0.308,,93,False,small
WCST Accuracy (%),Cohen's d (High vs Low UCLA),Cohen's d,-0.035,"[-0.32, 0.32]",= 0.832,,151,False,negligible
WCST Accuracy (%),Cohen's d (Male),Cohen's d,-0.217,"[-0.53, 0.50]",= 0.420,,56,False,small
WCST Accuracy (%),Correlation r,r,0.047,"[-0.08, 0.19]",= 0.568,,151,False,negligible
WCST Accuracy (%),Female UCLA β,β (unstandardized),1.401,"[-1.61, 4.42]",= 0.358,,95,True,large
WCST Accuracy (%),Male UCLA β,β (unstandardized),-1.478,"[-4.91, 1.95]",= 0.391,,55,True,large
WCST PE Rate,Female Correlation,r,-0.152,"[-0.34, 0.05]",= 0.142,,95,False,negligible
WCST PE Rate,Female Simple Slope,β (standardized),-0.309,"[-1.86, 1.24]",= 0.694,,95,True,small
WCST PE Rate,Interaction,β (standardized),0.986,"[-0.74, 2.71]",= 0.262,,150,True,large
WCST PE Rate,Interaction ΔR²,ΔR²,0.009,,= 0.262,,150,True,negligible
WCST PE Rate,Interaction β,β (unstandardized),0.986,,= 0.173,,150,True,large
WCST PE Rate,Male Correlation,r,0.020,"[-0.25, 0.28]",= 0.886,,55,False,negligible
WCST PE Rate,Male Simple Slope,β (standardized),0.549,"[-1.00, 2.10]",= 0.480,,55,True,medium
WCST PE Rate (%),Cohen's d (Female),Cohen's d,-0.301,"[-0.42, 0.42]",= 0.151,,93,False,small
WCST PE Rate (%),Cohen's d (High vs Low UCLA),Cohen's d,-0.103,"[-0.33, 0.31]",= 0.526,,151,False,negligible
WCST PE Rate (%),Cohen's d (Male),Cohen's d,0.092,"[-0.54, 0.51]",= 0.731,,56,False,negligible
WCST PE Rate (%),Correlation r,r,-0.087,"[-0.21, 0.04]",= 0.289,,151,False,negligible
WCST PE Rate (%),Female UCLA β,β (unstandardized),-0.309,"[-1.86, 1.24]",= 0.694,,95,True,small
WCST PE Rate (%),Male UCLA β,β (unstandardized),0.549,"[-1.00, 2.10]",= 0.480,,55,True,medium
