participant_id,post_error_slowing,post_error_accuracy,post_correct_accuracy,post_error_n,post_correct_n,ucla_total,gender_male
PLreonkqaMeFc0UqxKUelH44UQu1,2223.477210461555,0.6818181818181818,0.8082191780821918,22,73,44.0,1
QG6VXg7od2fHJ1SF9ZzYBqUa1FY2,815.3839682533568,0.7,0.9047619047619048,10,63,49.0,1
Qg9GDwQ9hBNkDLt50CNLd4NqRlX2,3338.514166631301,0.75,0.9,8,60,64.0,1
QreA2rLiUhV3YHeMfuHMPdGbpJ53,263.7889758661845,0.47619047619047616,0.8767123287671232,21,73,44.0,0
ToTCRJ4EX9OL6UlJqmDkaEbggWF2,1290.019696969426,0.6363636363636364,0.9090909090909091,11,66,47.0,0
WKzqsLX1lNVSdbGgYTTVGtFwsrF3,922.2267857142974,1.0,0.9125,7,80,49.0,0
WbOfW9KmUkPQK8o5hlHJnJFdpp92,663.1220588224776,0.5882352941176471,0.8875,17,80,22.0,1
WcTsIpSoEhYeIBSNjAbbdaNSBya2,287.7066438369452,0.55,0.8493150684931506,20,73,30.0,0
aj2Ivskb3BgyvBNTLIKlSZG0Sq22,124.32499999949277,0.7083333333333334,0.8191489361702128,24,94,54.0,0
azdL1gX79EVd9iepyCAVQrqIaQF3,904.239705882421,0.75,0.8823529411764706,12,68,32.0,0
cEIs6U87xfbSL5eFTXDK77MmvNf1,1387.7552326640418,0.625,0.8953488372093024,16,86,62.0,1
cUugYJoOmOSFc0Mh5JD0ZXJrYN52,717.6172976119569,0.8235294117647058,0.8613861386138614,17,101,40.0,1
dnkEqKuvjoQzAQm5yXlrAOp9ZlD3,4539.846050667869,0.6363636363636364,0.9016393442622951,11,61,59.0,0
fEq0OghbLpfD1jigl1Mbz96aMbg2,948.2010822490311,0.5238095238095238,0.8333333333333334,21,66,31.0,0
h12a1QYNpYbl3T0Gj1PxUz3EnEx2,2089.8273809523844,0.75,0.9047619047619048,8,63,60.0,0
h5RYP03wJuVN0xo7qAR8CKFxLaj1,842.4432379287134,0.4318181818181818,0.7777777777777778,44,81,29.0,0
i1tBstVkNiVP0qro7TgGD08IGGa2,901.6447860722874,0.7272727272727273,0.8823529411764706,11,68,26.0,0
iKVZi0Oo96UrMBhPQMHWFcf55uA3,847.9745762711163,0.625,0.9322033898305084,8,59,33.0,1
iWsc4pghIEWOQUZKuQJMfe516UI3,1567.386764713548,0.8181818181818182,0.8676470588235294,11,68,27.0,1
iZScIvzhvAdvlsBXU5D8IHwvG6Q2,2251.2283132561856,0.42857142857142855,0.7831325301204819,42,83,54.0,1
iv9ew8Ci8lOzvXFiJw1acJfuRAl2,2043.0846774193333,0.4375,0.9032258064516129,16,62,23.0,0
jpklrtZKDdb3UbsoQ7Ho5KuR5yb2,1248.4364406744303,0.75,0.9661016949152542,4,59,41.0,0
jzdk8E3tVXTXIozlfK5oeEb7wWp2,32.58931158591008,0.75,0.9130434782608695,8,69,37.0,1
kR2rCtaPyPaj7YMizKUDn5xL2qx1,677.4814699792676,0.6428571428571429,0.8840579710144928,14,69,53.0,1
kxerHPSL3bQjD74HhiebYf3blPr1,-277.9411919831192,0.27848101265822783,0.5208333333333334,79,48,43.0,0
lHDkoPQu5reNCO45npeYSS9eLQl1,990.2347944991229,0.5142857142857142,0.7671232876712328,35,73,36.0,0
lpzDdvuMkKWkPxu6xeclmdctEp42,703.7776922697549,0.6153846153846154,0.8857142857142857,13,70,52.0,0
mUZzgdWKnPb2txOkJg9FHgqX5792,431.3454321094207,0.56,0.8271604938271605,25,81,33.0,0
mg2WZiRBn4NQDKiMK43Y8dBqyG53,254.78393817203778,0.46875,0.8387096774193549,32,93,54.0,0
mwsliuPsLFhRFjtjQwYkqcCRDvi2,1684.98081958333,0.7,0.9016393442622951,10,61,49.0,1
nT1qJOiMyDdJ9ui4el195A8Hsgs1,4169.355072468951,0.6666666666666666,0.9130434782608695,9,69,62.0,0
pFlYc8DBmSXkvMIRgXFxvo3JB6j1,1318.692753623162,0.5333333333333333,0.8840579710144928,15,69,29.0,0
pRQimOpZtsekBI2I1kbnD3pycmo1,396.1445665315832,0.46153846153846156,0.9047619047619048,13,63,25.0,1
pcbRW89vVJcviD87V3uxyG4I9st2,1420.5924242424855,1.0,0.9393939393939394,4,66,33.0,1
q0Atnpm0jZS5swcVmq0EMalQUKw1,1246.0000000000057,0.6,0.9166666666666666,10,60,24.0,0
qsRKc69hK6e8Uu6vr2pBO8NbpMt2,2556.317874396216,0.8888888888888888,0.8985507246376812,9,69,40.0,1
rUuJv5gl7dWVo7UPQWMx4bohxhK2,1368.7483105023157,0.6,0.8767123287671232,15,73,43.0,0
ric6cNjG25XmZJCiKZDOxzeezao1,156.21908108114746,0.48,0.8513513513513513,25,74,44.0,1
roaf78tUWxWSEjAUcUu8O7mrQbl1,2370.1198718025134,0.6666666666666666,0.8769230769230769,12,65,58.0,0
ssPK6ISW0HerTGke9hznqJ2LpKu1,346.2939799467192,0.6923076923076923,0.8695652173913043,13,69,41.0,1
tPxs1KmmX0ZKjHS9Nr63xoOPCRr2,646.9591400392594,0.8333333333333334,0.9193548387096774,6,62,65.0,0
u64Uf920g5VD9Byq26LT2rs5o4t1,833.9669530886886,0.7058823529411765,0.8764044943820225,17,89,34.0,1
v8nNKiWvPdcjiHXZci39OuFTY6M2,3479.6331265491826,0.5384615384615384,0.9032258064516129,13,62,31.0,0
wdppvL4tIkVlGjou6aYzzjlaZXB2,181.26591025006292,0.24324324324324326,0.6415094339622641,74,53,44.0,1
xBGZhFOeypWnqzSQClkrwV9z2vF3,721.7317460317531,0.6428571428571429,0.8571428571428571,14,63,43.0,1
xyAILKfYP2M8GqAai11x6NT7IcP2,1518.5357060849433,0.6153846153846154,0.8955223880597015,13,67,35.0,1
y1EHXv8tUTa4BRS4fRio7bULYfA2,664.8521929487849,0.5416666666666666,0.8421052631578947,24,76,35.0,0
yatBVTBMCSMp0wJluOCLzTFKMyP2,1483.9999999999861,0.375,0.8636363636363636,24,66,35.0,0
